URL,TTL,Message
jw.org,1,timed out
jw.org,2,timed out
jw.org,3,timed out
jw.org,4,timed out
jw.org,5,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 207
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;61841402&#46;1579744929&#46;21d50a
</BODY></HTML>
"
jw.org,6,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 207
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;61841402&#46;1579744929&#46;21d521
</BODY></HTML>
"
jw.org,7,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 207
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;61841402&#46;1579744929&#46;21d53b
</BODY></HTML>
"
jw.org,8,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 207
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;61841402&#46;1579744929&#46;21d550
</BODY></HTML>
"
jw.org,9,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 207
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;61841402&#46;1579744929&#46;21d568
</BODY></HTML>
"
jw.org,10,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;46841402&#46;1579744929&#46;1823db3d
</BODY></HTML>
"
jw.org,11,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;46841402&#46;1579744929&#46;1823dbbd
</BODY></HTML>
"
jw.org,12,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;46841402&#46;1579744929&#46;1823dbf9
</BODY></HTML>
"
jw.org,13,"HTTP/1.0 400 Bad Request
Server: AkamaiGHost
Mime-Version: 1.0
Content-Type: text/html
Content-Length: 209
Expires: Thu, 23 Jan 2020 02:02:09 GMT
Date: Thu, 23 Jan 2020 02:02:09 GMT
Connection: close

<HTML><HEAD>
<TITLE>Invalid URL</TITLE>
</HEAD><BODY>
<H1>Invalid URL</H1>
The requested URL ""&#91;no&#32;URL&#93;"", is invalid.<p>
Reference&#32;&#35;9&#46;46841402&#46;1579744929&#46;1823dc24
</BODY></HTML>
"
