URL,TTL,Message
wildberries.ru,1,timed out
wildberries.ru,2,timed out
wildberries.ru,3,timed out
wildberries.ru,4,timed out
wildberries.ru,5,timed out
wildberries.ru,6,timed out
wildberries.ru,7,timed out
wildberries.ru,8,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:07:57 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r05-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,9,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:06:09 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r06-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,10,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:08:38 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r04-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,11,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:07:57 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r07-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,12,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:08:38 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r04-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,13,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:07:57 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r05-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,14,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:06:52 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r02-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,15,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:08:38 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r04-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
wildberries.ru,16,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 23 Jan 2020 08:07:41 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://www.wildberries.ru/
Status-NO-Id: ngx-site-r01-01.dp

<html>
<head><title>301 Moved Permanently</title></head>
<body bgcolor=""white"">
<center><h1>301 Moved Permanently</h1></center>
<hr><center>nginx</center>
</body>
</html>
"
