URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 30 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.686 ms  0.722 ms  0.769 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.569 ms  0.612 ms  0.613 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  8.014 ms  8.062 ms  8.061 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  30.079 ms  30.083 ms  30.083 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  32.514 ms  32.518 ms  32.561 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  196.709 ms  196.202 ms  196.159 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  196.808 ms  196.552 ms  195.326 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  196.802 ms  195.981 ms  195.972 ms
"
1905.com,9," 9  * * *
"
1905.com,10,"10  * * *
"
1905.com,11,"11  * * *
"
1905.com,12,"12  218.241.244.18 (218.241.244.18)  185.787 ms  185.896 ms  186.121 ms
"
1905.com,13,"13  * * *
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  248.273 ms  248.307 ms  248.240 ms
"
1905.com,15,"15  * * *
"
1905.com,16,"16  218.241.152.234 (218.241.152.234)  192.217 ms  192.223 ms  192.257 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  195.388 ms !H  195.303 ms !H  195.314 ms !H
"
