URL,TTL,Response_Message
cntv.cn,0,"traceroute to cntv.cn (202.108.8.151), 30 hops max, 60 byte packets
"
cntv.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.322 ms  0.314 ms  0.312 ms
"
cntv.cn,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.660 ms  0.582 ms  0.650 ms
"
cntv.cn,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.137 ms  26.164 ms  26.149 ms
"
cntv.cn,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  28.179 ms  28.129 ms  28.392 ms
"
cntv.cn,5," 5  et-0-0-67.cr4-lax2.ip4.gtt.net (89.149.140.77)  173.282 ms  173.262 ms  173.276 ms
"
cntv.cn,6," 6  as4837.cr4-lax2.ip4.gtt.net (199.229.231.210)  169.283 ms  168.782 ms  168.771 ms
"
cntv.cn,7," 7  219.158.96.233 (219.158.96.233)  336.214 ms  336.208 ms  336.488 ms
"
cntv.cn,8," 8  219.158.96.206 (219.158.96.206)  343.409 ms *  342.478 ms
"
cntv.cn,9," 9  219.158.103.41 (219.158.103.41)  342.977 ms  342.318 ms  342.332 ms
"
cntv.cn,10,"10  219.158.19.225 (219.158.19.225)  336.793 ms *  339.275 ms
"
cntv.cn,11,"11  * * *
"
cntv.cn,12,"12  124.65.194.26 (124.65.194.26)  339.176 ms  338.299 ms  337.921 ms
"
cntv.cn,13,"13  61.148.143.22 (61.148.143.22)  340.029 ms  340.320 ms  340.211 ms
"
cntv.cn,14,"14  61.49.42.130 (61.49.42.130)  340.468 ms  340.305 ms  340.649 ms
"
cntv.cn,15,"15  zz-8-151-a8.bta.net.cn (202.108.8.151)  336.330 ms  336.998 ms  336.478 ms
"
