URL,TTL,Response_Message
rdsa2013.com,0,"traceroute to rdsa2013.com (173.192.101.27), 30 hops max, 60 byte packets
"
rdsa2013.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.309 ms  0.334 ms  0.378 ms
"
rdsa2013.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  32.100 ms  32.123 ms  32.113 ms
"
rdsa2013.com,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  32.245 ms  32.242 ms  32.282 ms
"
rdsa2013.com,4," 4  bbr01.xn01.fra01.networklayer.com (80.81.194.167)  31.410 ms  31.480 ms  31.470 ms
"
rdsa2013.com,5," 5  * * *
"
rdsa2013.com,6," 6  * * *
"
rdsa2013.com,7," 7  ae1.cbs02.tl01.nyc01.networklayer.com (169.45.19.46)  110.441 ms * *
"
rdsa2013.com,8," 8  * ae0.cbs01.eq01.chi01.networklayer.com (50.97.17.48)  130.594 ms *
"
rdsa2013.com,9," 9  ae2.cbs02.dr01.dal04.networklayer.com (169.45.18.4)  152.187 ms  152.207 ms *
"
rdsa2013.com,10,"10  ae8.cbs02.eq01.dal03.networklayer.com (169.45.18.72)  154.298 ms  151.687 ms *
"
rdsa2013.com,11,"11  ae34.bbr01.eq01.dal03.networklayer.com (50.97.17.57)  149.093 ms  149.089 ms  149.124 ms
"
rdsa2013.com,12,"12  ae6.dar02.dal05.networklayer.com (50.97.18.193)  150.342 ms  150.442 ms  150.436 ms
"
rdsa2013.com,13,"13  po2.fcr01.sr01.dal05.networklayer.com (173.192.118.133)  149.580 ms  149.734 ms  150.113 ms
"
rdsa2013.com,14,"14  1b.65.c0ad.ip4.static.sl-reverse.com (173.192.101.27)  149.158 ms  149.162 ms  149.234 ms
"
