URL,TTL,Response_Message
udn.com,0,"traceroute to udn.com (95.101.56.38), 30 hops max, 60 byte packets
"
udn.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.332 ms  0.326 ms  0.325 ms
"
udn.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.876 ms  0.985 ms  1.095 ms
"
udn.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.064 ms  17.075 ms  17.075 ms
"
udn.com,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.407 ms  18.528 ms  18.593 ms
"
udn.com,5," 5  ae-14.r01.vienat01.at.bb.gin.ntt.net (129.250.9.129)  18.525 ms  18.639 ms  18.711 ms
"
udn.com,6," 6  ae-7.r25.amstnl02.nl.bb.gin.ntt.net (129.250.2.111)  38.895 ms  39.647 ms  39.639 ms
"
udn.com,7," 7  ae-5.r02.amstnl02.nl.bb.gin.ntt.net (129.250.2.179)  38.910 ms  38.955 ms  39.053 ms
"
udn.com,8," 8  ae-0.akamai.amstnl02.nl.bb.gin.ntt.net (81.20.64.106)  45.315 ms  39.153 ms  39.183 ms
"
udn.com,9," 9  a95-101-56-38.deploy.static.akamaitechnologies.com (95.101.56.38)  38.287 ms  38.348 ms  38.369 ms
"
