URL,TTL,Response_Message
expedia.com,0,"traceroute to expedia.com (52.40.56.178), 30 hops max, 60 byte packets
"
expedia.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.898 ms  0.892 ms  0.890 ms
"
expedia.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.914 ms  0.994 ms  1.074 ms
"
expedia.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.050 ms  17.082 ms  17.166 ms
"
expedia.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.282 ms  22.305 ms  22.374 ms
"
expedia.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.415 ms  30.483 ms  30.529 ms
"
expedia.com,6," 6  be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.667 ms  39.780 ms  39.829 ms
"
expedia.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  135.544 ms  135.740 ms  135.891 ms
"
expedia.com,8," 8  be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  135.321 ms  135.990 ms  135.967 ms
"
expedia.com,9," 9  be3599.ccr21.alb02.atlas.cogentco.com (66.28.4.237)  135.590 ms  135.587 ms  135.577 ms
"
expedia.com,10,"10  be2878.ccr21.cle04.atlas.cogentco.com (154.54.26.129)  135.460 ms  135.569 ms  135.660 ms
"
expedia.com,11,"11  be2717.ccr41.ord01.atlas.cogentco.com (154.54.6.221)  135.655 ms  139.311 ms  139.528 ms
"
expedia.com,12,"12  be2831.ccr21.mci01.atlas.cogentco.com (154.54.42.165)  146.690 ms  146.793 ms  146.792 ms
"
expedia.com,13,"13  be3035.ccr21.den01.atlas.cogentco.com (154.54.5.89)  158.839 ms  159.099 ms  159.242 ms
"
expedia.com,14,"14  be3037.ccr21.slc01.atlas.cogentco.com (154.54.41.145)  169.324 ms  169.357 ms  169.640 ms
"
expedia.com,15,"15  be3109.ccr21.sfo01.atlas.cogentco.com (154.54.44.137)  184.144 ms  184.158 ms  184.158 ms
"
expedia.com,16,"16  be3669.ccr41.sjc03.atlas.cogentco.com (154.54.43.10)  185.284 ms  185.284 ms  185.315 ms
"
expedia.com,17,"17  38.88.224.218 (38.88.224.218)  186.075 ms  185.744 ms  189.858 ms
"
expedia.com,18,"18  52.93.70.200 (52.93.70.200)  175.474 ms  177.843 ms  177.813 ms
"
expedia.com,19,"19  54.240.242.97 (54.240.242.97)  174.818 ms  174.885 ms  174.894 ms
"
expedia.com,20,"20  * * *
"
expedia.com,21,"21  52.93.134.226 (52.93.134.226)  194.895 ms  194.917 ms  195.177 ms
"
expedia.com,22,"22  * * *
"
expedia.com,23,"23  52.93.12.114 (52.93.12.114)  195.121 ms  195.123 ms  195.535 ms
"
expedia.com,24,"24  52.93.12.109 (52.93.12.109)  194.480 ms  194.492 ms  194.474 ms
"
expedia.com,25,"25  52.93.12.72 (52.93.12.72)  197.467 ms  197.792 ms  196.476 ms
"
expedia.com,26,"26  52.93.246.115 (52.93.246.115)  196.238 ms  227.015 ms  227.001 ms
"
expedia.com,27,"27  52.93.246.25 (52.93.246.25)  194.698 ms  194.499 ms  194.532 ms
"
expedia.com,28,"28  * * *
"
expedia.com,29,"29  * * *
"
expedia.com,30,"30  * * *
"
