URL,TTL,Response_Message
secureserver.net,0,"traceroute to secureserver.net (208.109.192.71), 30 hops max, 60 byte packets
"
secureserver.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.391 ms  0.382 ms  0.381 ms
"
secureserver.net,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.673 ms  0.674 ms  0.699 ms
"
secureserver.net,3," 3  ae1-5.RT.IRX.FKT.DE.retn.net (87.245.232.244)  29.830 ms  29.840 ms  29.840 ms
"
secureserver.net,4," 4  * * *
"
secureserver.net,5," 5  * * *
"
secureserver.net,6," 6  4.28.83.74 (4.28.83.74)  165.771 ms  167.096 ms  167.094 ms
"
secureserver.net,7," 7  148.72.32.7 (148.72.32.7)  172.881 ms  165.881 ms  165.902 ms
"
secureserver.net,8," 8  ip-184-168-0-113.ip.secureserver.net (184.168.0.113)  165.871 ms  165.859 ms  165.895 ms
"
secureserver.net,9," 9  * * *
"
secureserver.net,10,"10  * * *
"
secureserver.net,11,"11  * * *
"
secureserver.net,12,"12  * * *
"
secureserver.net,13,"13  * * *
"
secureserver.net,14,"14  ip-208-109-192-71.ip.secureserver.net (208.109.192.71)  165.529 ms  165.583 ms  165.571 ms
"
