URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 30 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.394 ms  0.389 ms  0.400 ms
"
xcar.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  23.958 ms  23.978 ms  23.994 ms
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  7.816 ms  7.823 ms  7.816 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.958 ms  29.959 ms  29.952 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  31.767 ms  31.762 ms  31.797 ms
"
xcar.com.cn,6," 6  202.97.58.77 (202.97.58.77)  173.170 ms  172.648 ms  172.639 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  229.839 ms  229.779 ms  230.225 ms
"
xcar.com.cn,8," 8  202.97.34.77 (202.97.34.77)  184.898 ms  184.966 ms  185.341 ms
"
xcar.com.cn,9," 9  220.181.177.70 (220.181.177.70)  173.451 ms  175.310 ms *
"
xcar.com.cn,10,"10  * * *
"
xcar.com.cn,11,"11  36.110.203.230 (36.110.203.230)  190.465 ms  185.985 ms  186.091 ms
"
xcar.com.cn,12,"12  * * *
"
xcar.com.cn,13,"13  192.144.194.149 (192.144.194.149)  185.018 ms  184.988 ms  185.000 ms
"
