URL,TTL,Response_Message
2ch.hk,0,"traceroute to 2ch.hk (5.61.239.36), 30 hops max, 60 byte packets
"
2ch.hk,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.256 ms  0.292 ms  0.326 ms
"
2ch.hk,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.050 ms  0.911 ms  0.946 ms
"
2ch.hk,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.073 ms  17.150 ms  17.198 ms
"
2ch.hk,4," 4  be3463.ccr52.vie01.atlas.cogentco.com (154.54.59.185)  18.438 ms  18.251 ms  18.245 ms
"
2ch.hk,5," 5  level3.vie01.atlas.cogentco.com (130.117.15.162)  110.497 ms  110.502 ms  110.483 ms
"
2ch.hk,6," 6  ae-125-3515.bar1.Helsinki1.Level3.net (4.69.203.26)  137.936 ms ae-124-3514.bar1.Helsinki1.Level3.net (4.69.203.22)  137.736 ms  137.733 ms
"
2ch.hk,7," 7  212.73.248.6 (212.73.248.6)  45.996 ms  44.628 ms  44.355 ms
"
2ch.hk,8," 8  * * *
"
2ch.hk,9," 9  * * *
"
2ch.hk,10,"10  * * *
"
2ch.hk,11,"11  5.61.239.36 (5.61.239.36)  47.385 ms  45.524 ms  45.509 ms
"
