URL,TTL,Response_Message
domkino.tv,0,"traceroute to domkino.tv (217.16.26.102), 30 hops max, 60 byte packets
"
domkino.tv,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.329 ms  0.316 ms  0.345 ms
"
domkino.tv,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.814 ms  0.563 ms  0.790 ms
"
domkino.tv,3," 3  10.11.12.17 (10.11.12.17)  1.147 ms  0.839 ms  0.827 ms
"
domkino.tv,4," 4  * * *
"
domkino.tv,5," 5  ae3-212.RT.NTL.KIV.UA.retn.net (87.245.237.8)  0.865 ms  1.097 ms  1.079 ms
"
domkino.tv,6," 6  ae2-7.RT1.M9.MSK.RU.retn.net (87.245.233.91)  19.999 ms  19.977 ms  61.625 ms
"
domkino.tv,7," 7  GW-MasterHost.retn.net (87.245.255.143)  19.246 ms  19.606 ms  19.270 ms
"
domkino.tv,8," 8  msk-ff-22-vl18.masterhost.ru (217.16.23.242)  18.210 ms  18.063 ms *
"
domkino.tv,9," 9  new.1tv.com (217.16.26.102)  18.641 ms  18.890 ms  17.920 ms
"
