URL,TTL,Response_Message
freepussyriot.org,0,"traceroute to freepussyriot.org (176.31.1.197), 30 hops max, 60 byte packets
"
freepussyriot.org,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.312 ms  0.350 ms
"
freepussyriot.org,2," 2  * * *
"
freepussyriot.org,3," 3  * * *
"
freepussyriot.org,4," 4  fra-fr5-sbb1-nc5.de.eu (213.251.128.113)  33.592 ms  34.296 ms  34.291 ms
"
freepussyriot.org,5," 5  be103.rbx-g1-nc5.fr.eu (178.33.100.158)  66.878 ms  67.569 ms  66.232 ms
"
freepussyriot.org,6," 6  * * *
"
freepussyriot.org,7," 7  * * *
"
freepussyriot.org,8," 8  * * *
"
freepussyriot.org,9," 9  * * *
"
freepussyriot.org,10,"10  ns1221.webempresa.eu (176.31.1.197)  44.807 ms  45.454 ms  44.829 ms
"
