URL,TTL,Response_Message
google.com.ua,0,"traceroute to google.com.ua (172.217.16.3), 30 hops max, 60 byte packets
"
google.com.ua,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.340 ms  0.329 ms  0.320 ms
"
google.com.ua,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.552 ms  0.599 ms  0.586 ms
"
google.com.ua,3," 3  * * 100.64.64.58 (100.64.64.58)  0.676 ms
"
google.com.ua,4," 4  google-gw1.kv.wnet.ua (128.0.168.137)  5.960 ms  2.485 ms  2.480 ms
"
google.com.ua,5," 5  * 108.170.248.147 (108.170.248.147)  0.869 ms 108.170.248.131 (108.170.248.131)  1.026 ms
"
google.com.ua,6," 6  108.170.234.224 (108.170.234.224)  1.207 ms 108.170.234.206 (108.170.234.206)  1.197 ms 108.170.234.224 (108.170.234.224)  15.454 ms
"
google.com.ua,7," 7  108.170.250.193 (108.170.250.193)  13.845 ms 216.239.46.121 (216.239.46.121)  15.206 ms 108.170.250.209 (108.170.250.209)  16.132 ms
"
google.com.ua,8," 8  216.239.40.213 (216.239.40.213)  14.518 ms 108.170.250.209 (108.170.250.209)  16.067 ms  16.675 ms
"
google.com.ua,9," 9  216.239.40.213 (216.239.40.213)  14.850 ms  14.287 ms waw02s13-in-f3.1e100.net (172.217.16.3)  14.363 ms
"
