URL,TTL,Response_Message
pochta.ru,0,"traceroute to pochta.ru (91.215.37.236), 30 hops max, 60 byte packets
"
pochta.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.379 ms  0.368 ms  0.363 ms
"
pochta.ru,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.887 ms  1.030 ms  0.903 ms
"
pochta.ru,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.332 ms  17.340 ms  17.273 ms
"
pochta.ru,4," 4  ae2.cr2-bts1.ip4.gtt.net (213.254.226.153)  30.069 ms  30.050 ms  30.053 ms
"
pochta.ru,5," 5  et-0-0-19.cr2-fra6.ip4.gtt.net (89.149.133.62)  30.086 ms  30.078 ms  30.108 ms
"
pochta.ru,6," 6  rostel-gw.ip4.gtt.net (77.67.90.99)  41.122 ms  41.134 ms  41.122 ms
"
pochta.ru,7," 7  213.59.211.63 (213.59.211.63)  43.903 ms 213.59.211.255 (213.59.211.255)  42.541 ms 213.59.212.217 (213.59.212.217)  46.513 ms
"
pochta.ru,8," 8  * * *
"
pochta.ru,9," 9  91.215.37.236 (91.215.37.236)  42.102 ms  42.525 ms  42.093 ms
"
pochta.ru,10,"10  91.215.37.236 (91.215.37.236)  42.558 ms  41.782 ms  42.889 ms
"
