URL,TTL,Response_Message
pravdabeslana.ru,0,"traceroute to pravdabeslana.ru (5.45.112.204), 30 hops max, 60 byte packets
"
pravdabeslana.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.405 ms  0.431 ms  0.417 ms
"
pravdabeslana.ru,2," 2  datagroup-as3326-ix-2.giganet.ua (185.1.62.11)  1.163 ms  0.509 ms  0.498 ms
"
pravdabeslana.ru,3," 3  77.88.211.129 (77.88.211.129)  0.620 ms  0.607 ms  0.594 ms
"
pravdabeslana.ru,4," 4  r9-xe-4-2-0-0-Waw-Linx-PL.linxtelecom.net (212.47.201.130)  33.012 ms  33.047 ms  33.039 ms
"
pravdabeslana.ru,5," 5  r9-xe-2-0-3-0-Vno-Lnrg-LT.linxtelecom.net (212.47.201.71)  33.151 ms  33.249 ms  33.297 ms
"
pravdabeslana.ru,6," 6  r9-xe-10-1-0-0-Tln-Linx-EE.linxtelecom.net (212.47.201.118)  32.869 ms  32.819 ms  32.836 ms
"
pravdabeslana.ru,7," 7  r9-xe-4-3-0-0-Nar-EVR-EE.linxtelecom.net (212.47.201.157)  32.434 ms  32.427 ms  32.419 ms
"
pravdabeslana.ru,8," 8  as198068.r9-xe-2-2-0-0-Nar-EVR-EE.linxtelecom.net (195.222.7.89)  33.189 ms  33.183 ms  33.314 ms
"
pravdabeslana.ru,9," 9  * * *
"
pravdabeslana.ru,10,"10  s052d70cc.fastvps-server.com (5.45.112.204)  35.177 ms  32.327 ms  37.226 ms
"
