URL,TTL,Response_Message
radiovera.ru,0,"traceroute to radiovera.ru (91.230.61.4), 30 hops max, 60 byte packets
"
radiovera.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  3.926 ms  3.900 ms  3.921 ms
"
radiovera.ru,2," 2  * * *
"
radiovera.ru,3," 3  * * *
"
radiovera.ru,4," 4  * * *
"
radiovera.ru,5," 5  * * *
"
radiovera.ru,6," 6  * * *
"
radiovera.ru,7," 7  * * *
"
radiovera.ru,8," 8  * * *
"
radiovera.ru,9," 9  * * *
"
radiovera.ru,10,"10  * * *
"
radiovera.ru,11,"11  * * *
"
radiovera.ru,12,"12  * * *
"
radiovera.ru,13,"13  * * *
"
radiovera.ru,14,"14  * * *
"
radiovera.ru,15,"15  * * *
"
radiovera.ru,16,"16  * * *
"
radiovera.ru,17,"17  * * *
"
radiovera.ru,18,"18  * * *
"
radiovera.ru,19,"19  * * *
"
radiovera.ru,20,"20  * * *
"
radiovera.ru,21,"21  * * *
"
radiovera.ru,22,"22  * * *
"
radiovera.ru,23,"23  * * *
"
radiovera.ru,24,"24  * * *
"
radiovera.ru,25,"25  * * *
"
radiovera.ru,26,"26  * * *
"
radiovera.ru,27,"27  * * *
"
radiovera.ru,28,"28  * * *
"
radiovera.ru,29,"29  * * *
"
radiovera.ru,30,"30  * * *
"
