URL,TTL,Response_Message
vsednr.ru,0,"traceroute to vsednr.ru (195.201.120.144), 30 hops max, 60 byte packets
"
vsednr.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.313 ms  0.318 ms  0.358 ms
"
vsednr.ru,2," 2  * * *
"
vsednr.ru,3," 3  * * *
"
vsednr.ru,4," 4  * * *
"
vsednr.ru,5," 5  * * *
"
vsednr.ru,6," 6  * * *
"
vsednr.ru,7," 7  * * *
"
vsednr.ru,8," 8  * * *
"
vsednr.ru,9," 9  * * *
"
vsednr.ru,10,"10  * * *
"
vsednr.ru,11,"11  * * *
"
vsednr.ru,12,"12  * * *
"
vsednr.ru,13,"13  * * *
"
vsednr.ru,14,"14  * * *
"
vsednr.ru,15,"15  * * *
"
vsednr.ru,16,"16  * * *
"
vsednr.ru,17,"17  * * *
"
vsednr.ru,18,"18  * * *
"
vsednr.ru,19,"19  * * *
"
vsednr.ru,20,"20  * * *
"
vsednr.ru,21,"21  * * *
"
vsednr.ru,22,"22  * * *
"
vsednr.ru,23,"23  * * *
"
vsednr.ru,24,"24  * * *
"
vsednr.ru,25,"25  * * *
"
vsednr.ru,26,"26  * * *
"
vsednr.ru,27,"27  * * *
"
vsednr.ru,28,"28  * * *
"
vsednr.ru,29,"29  * * *
"
vsednr.ru,30,"30  * * *
"
