URL,TTL,Response_Message
centre1.com,0,"traceroute to centre1.com (46.105.96.164), 50 hops max, 60 byte packets
"
centre1.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  3.212 ms  3.218 ms  3.194 ms
"
centre1.com,2," 2  * * *
"
centre1.com,3," 3  * * *
"
centre1.com,4," 4  fra-fr5-sbb1-nc5.de.eu (213.251.128.113)  34.156 ms  33.830 ms  34.139 ms
"
centre1.com,5," 5  be103.rbx-g1-nc5.fr.eu (178.33.100.158)  45.913 ms  46.395 ms  46.227 ms
"
centre1.com,6," 6  * * *
"
centre1.com,7," 7  * * *
"
centre1.com,8," 8  * * *
"
centre1.com,9," 9  ns381774.ip-46-105-96.eu (46.105.96.164)  44.874 ms  45.589 ms  44.887 ms
"
