URL,TTL,Response_Message
mk.ru,0,"traceroute to mk.ru (185.3.143.66), 50 hops max, 60 byte packets
"
mk.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.314 ms  0.314 ms  0.324 ms
"
mk.ru,2," 2  * * *
"
mk.ru,3," 3  as49063.ix.dataix.ru (178.18.226.81)  16.632 ms  16.613 ms  16.974 ms
"
mk.ru,4," 4  10.0.1.78 (10.0.1.78)  21.563 ms  20.103 ms  21.455 ms
"
mk.ru,5," 5  10.200.16.198 (10.200.16.198)  18.464 ms  18.200 ms  18.463 ms
"
mk.ru,6," 6  10.200.16.55 (10.200.16.55)  17.903 ms  17.188 ms  17.377 ms
"
mk.ru,7," 7  10.200.16.153 (10.200.16.153)  17.486 ms 10.200.16.70 (10.200.16.70)  18.273 ms  21.822 ms
"
mk.ru,8," 8  10.200.16.195 (10.200.16.195)  18.330 ms 10.200.16.193 (10.200.16.193)  19.922 ms  18.134 ms
"
mk.ru,9," 9  10.200.16.17 (10.200.16.17)  18.065 ms 10.200.16.174 (10.200.16.174)  18.054 ms 10.200.16.17 (10.200.16.17)  18.876 ms
"
mk.ru,10,"10  10.200.16.47 (10.200.16.47)  17.447 ms  17.361 ms  17.875 ms
"
mk.ru,11,"11  185.3.143.66 (185.3.143.66)  19.839 ms  17.609 ms  16.781 ms
"
