URL,TTL,Response_Message
nodrugs.ru,0,"traceroute to nodrugs.ru (195.208.1.165), 50 hops max, 60 byte packets
"
nodrugs.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.349 ms  0.324 ms  0.357 ms
"
nodrugs.ru,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.917 ms  0.961 ms  0.977 ms
"
nodrugs.ru,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.000 ms  17.143 ms  17.156 ms
"
nodrugs.ru,4," 4  ae2.cr2-bts1.ip4.gtt.net (213.254.226.153)  30.092 ms  30.060 ms  30.078 ms
"
nodrugs.ru,5," 5  et-0-0-5.cr2-fra6.ip4.gtt.net (213.200.116.226)  29.663 ms  29.674 ms  29.663 ms
"
nodrugs.ru,6," 6  rostel-gw.ip4.gtt.net (77.67.90.99)  41.140 ms  41.211 ms  41.233 ms
"
nodrugs.ru,7," 7  188.254.25.77 (188.254.25.77)  41.701 ms 213.59.212.235 (213.59.212.235)  40.836 ms 188.254.25.77 (188.254.25.77)  42.111 ms
"
nodrugs.ru,8," 8  5.143.251.250 (5.143.251.250)  85.228 ms  68.995 ms  68.956 ms
"
nodrugs.ru,9," 9  MSK-CTV-R1.nic.ru (193.232.147.51)  57.517 ms  57.515 ms  42.417 ms
"
nodrugs.ru,10,"10  MSK-DP-R2.nic.ru (193.232.147.218)  42.532 ms  43.027 ms  42.961 ms
"
nodrugs.ru,11,"11  MSK-DP-GW1.nic.ru (193.232.147.214)  51.784 ms  47.654 ms  47.497 ms
"
nodrugs.ru,12,"12  std-carp65-http.nic.ru (195.208.1.165)  43.910 ms  43.103 ms  43.443 ms
"
