URL,TTL,Response_Message
porjati.net,0,"traceroute to porjati.net (5.45.75.21), 50 hops max, 60 byte packets
"
porjati.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.316 ms  0.303 ms  0.306 ms
"
porjati.net,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.871 ms  0.862 ms  0.958 ms
"
porjati.net,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.063 ms  17.137 ms  17.058 ms
"
porjati.net,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.484 ms  22.509 ms  22.206 ms
"
porjati.net,5," 5  be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.757 ms  30.723 ms be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.691 ms
"
porjati.net,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.604 ms  39.293 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.690 ms
"
porjati.net,7," 7  be3457.ccr21.ams04.atlas.cogentco.com (130.117.1.10)  39.794 ms  39.488 ms  39.531 ms
"
porjati.net,8," 8  * * *
"
porjati.net,9," 9  * * *
"
porjati.net,10,"10  5.178.67.25 (5.178.67.25)  47.295 ms  40.477 ms  40.183 ms
"
porjati.net,11,"11  5.45.75.21 (5.45.75.21)  39.178 ms  41.481 ms  41.579 ms
"
