URL,TTL,Response_Message
unrussia.ru,0,"traceroute to unrussia.ru (195.208.1.135), 50 hops max, 60 byte packets
"
unrussia.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.305 ms  0.286 ms  0.308 ms
"
unrussia.ru,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.940 ms  0.973 ms  1.012 ms
"
unrussia.ru,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.389 ms  16.892 ms  17.396 ms
"
unrussia.ru,4," 4  ae2.cr2-bts1.ip4.gtt.net (213.254.226.153)  30.048 ms  30.069 ms  30.094 ms
"
unrussia.ru,5," 5  et-0-0-5.cr2-fra6.ip4.gtt.net (213.200.116.226)  31.547 ms  31.575 ms  31.519 ms
"
unrussia.ru,6," 6  rostel-gw.ip4.gtt.net (77.67.90.99)  41.170 ms  41.148 ms  41.170 ms
"
unrussia.ru,7," 7  213.59.211.63 (213.59.211.63)  49.580 ms 213.59.211.255 (213.59.211.255)  41.245 ms 213.59.212.217 (213.59.212.217)  41.363 ms
"
unrussia.ru,8," 8  5.143.251.250 (5.143.251.250)  42.056 ms  57.223 ms  47.500 ms
"
unrussia.ru,9," 9  MSK-CTV-R1.nic.ru (193.232.147.51)  43.198 ms  48.430 ms  48.414 ms
"
unrussia.ru,10,"10  MSK-DP-R2.nic.ru (193.232.147.218)  43.575 ms  46.461 ms  42.942 ms
"
unrussia.ru,11,"11  MSK-DP-GW1.nic.ru (193.232.147.214)  42.976 ms  42.845 ms  43.270 ms
"
unrussia.ru,12,"12  std-carp35-http.nic.ru (195.208.1.135)  42.909 ms  42.990 ms  43.485 ms
"
