URL,TTL,Response_Message
51sole.com,0,"traceroute to 51sole.com (150.109.68.232), 50 hops max, 60 byte packets
"
51sole.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.335 ms  0.344 ms  0.378 ms
"
51sole.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.528 ms  0.465 ms  0.499 ms
"
51sole.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.061 ms  28.589 ms  26.061 ms
"
51sole.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  38.834 ms  38.875 ms  38.860 ms
"
51sole.com,5," 5  ffm-bb2-link.telia.net (62.115.116.161)  29.441 ms ffm-bb3-link.telia.net (62.115.137.128)  26.443 ms ffm-bb2-link.telia.net (62.115.121.8)  26.546 ms
"
51sole.com,6," 6  mei-b2-link.telia.net (62.115.133.181)  43.654 ms  46.133 ms mei-b2-link.telia.net (62.115.133.179)  41.290 ms
"
51sole.com,7," 7  flagtelecom-ic-324599-mei-b2.c.telia.net (213.248.72.190)  41.516 ms  41.572 ms  43.996 ms
"
51sole.com,8," 8  ae2.0.pjr04.ldn001.flagtel.com (85.95.26.253)  304.636 ms  303.266 ms  303.286 ms
"
51sole.com,9," 9  xe-3-0-6.0.cjr01.sin001.flagtel.com (85.95.26.25)  308.213 ms xe-2-0-6.0.cjr01.sin001.flagtel.com (85.95.27.98)  310.748 ms  310.451 ms
"
51sole.com,10,"10  ge-4-1-0.0.ejr04.sin001.flagtel.com (85.95.26.58)  303.060 ms ge-0-3-0.0.pjr01.hkg005.flagtel.com (62.216.128.9)  309.648 ms  312.189 ms
"
51sole.com,11,"11  xe-8-0-2.0.cji02.hkg003.flagtel.com (62.216.128.45)  314.297 ms xe-1-1-0.0.cji02.hkg003.flagtel.com (85.95.27.169)  313.141 ms xe-8-0-2.0.cji02.hkg003.flagtel.com (62.216.128.45)  303.728 ms
"
51sole.com,12,"12  80.77.1.94 (80.77.1.94)  249.594 ms peer.flagtel.com (62.216.145.226)  249.609 ms 80.81.65.138 (80.81.65.138)  251.192 ms
"
51sole.com,13,"13  218.189.5.55 (218.189.5.55)  240.913 ms 218.189.5.23 (218.189.5.23)  239.823 ms  242.321 ms
"
51sole.com,14,"14  global.hgc.com.hk (218.189.12.14)  312.352 ms  300.529 ms  301.209 ms
"
51sole.com,15,"15  * * *
"
51sole.com,16,"16  * * *
"
51sole.com,17,"17  * * *
"
51sole.com,18,"18  * * *
"
51sole.com,19,"19  * * *
"
51sole.com,20,"20  * * *
"
51sole.com,21,"21  * * *
"
51sole.com,22,"22  * * *
"
51sole.com,23,"23  * * *
"
51sole.com,24,"24  * * *
"
51sole.com,25,"25  * * *
"
51sole.com,26,"26  * * *
"
51sole.com,27,"27  * * *
"
51sole.com,28,"28  * * *
"
51sole.com,29,"29  * * *
"
51sole.com,30,"30  * * *
"
51sole.com,31,"31  * * *
"
51sole.com,32,"32  * * *
"
51sole.com,33,"33  * * *
"
51sole.com,34,"34  * * *
"
51sole.com,35,"35  * * *
"
51sole.com,36,"36  * * *
"
51sole.com,37,"37  * * *
"
51sole.com,38,"38  * * *
"
51sole.com,39,"39  * * *
"
51sole.com,40,"40  * * *
"
51sole.com,41,"41  * * *
"
51sole.com,42,"42  * * *
"
51sole.com,43,"43  * * *
"
51sole.com,44,"44  * * *
"
51sole.com,45,"45  * * *
"
51sole.com,46,"46  * * *
"
51sole.com,47,"47  * * *
"
51sole.com,48,"48  * * *
"
51sole.com,49,"49  * * *
"
51sole.com,50,"50  * * *
"
