URL,TTL,Response_Message
1905.com,0,"traceroute to 1905.com (118.145.26.112), 30 hops max, 60 byte packets
"
1905.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.391 ms  0.374 ms  0.364 ms
"
1905.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.601 ms *  0.567 ms
"
1905.com,3," 3  100.64.65.25 (100.64.65.25)  7.889 ms  8.270 ms  7.870 ms
"
1905.com,4," 4  100.64.64.141 (100.64.64.141)  61.046 ms  30.473 ms  30.470 ms
"
1905.com,5," 5  81.173.22.17 (81.173.22.17)  31.525 ms  31.514 ms  31.491 ms
"
1905.com,6," 6  202.97.99.157 (202.97.99.157)  197.445 ms  196.991 ms  196.989 ms
"
1905.com,7," 7  202.97.84.9 (202.97.84.9)  200.108 ms  199.924 ms  199.904 ms
"
1905.com,8," 8  202.97.94.185 (202.97.94.185)  197.515 ms  198.254 ms  198.221 ms
"
1905.com,9," 9  * * *
"
1905.com,10,"10  * * *
"
1905.com,11,"11  * * *
"
1905.com,12,"12  218.241.244.18 (218.241.244.18)  185.762 ms 218.241.244.6 (218.241.244.6)  195.855 ms 218.241.244.10 (218.241.244.10)  193.596 ms
"
1905.com,13,"13  218.241.255.250 (218.241.255.250)  185.315 ms  185.344 ms *
"
1905.com,14,"14  124.202.11.126 (124.202.11.126)  248.776 ms  248.704 ms  248.857 ms
"
1905.com,15,"15  * * *
"
1905.com,16,"16  218.241.152.234 (218.241.152.234)  213.060 ms  191.887 ms  191.919 ms
"
1905.com,17,"17  118.145.26.112 (118.145.26.112)  195.290 ms !H  195.449 ms !H  194.935 ms !H
"
