URL,TTL,Response_Message
39.net,0,"traceroute to 39.net (219.238.238.42), 30 hops max, 60 byte packets
"
39.net,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.318 ms  0.322 ms  0.364 ms
"
39.net,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.520 ms  0.573 ms  0.563 ms
"
39.net,3," 3  100.64.65.25 (100.64.65.25)  8.279 ms  8.278 ms  8.269 ms
"
39.net,4," 4  100.64.64.141 (100.64.64.141)  30.940 ms  31.399 ms  30.969 ms
"
39.net,5," 5  81.173.22.17 (81.173.22.17)  31.371 ms  31.385 ms  31.374 ms
"
39.net,6," 6  202.97.99.157 (202.97.99.157)  195.403 ms  195.002 ms  194.782 ms
"
39.net,7," 7  202.97.85.41 (202.97.85.41)  186.899 ms  186.892 ms  186.884 ms
"
39.net,8," 8  202.97.48.241 (202.97.48.241)  184.631 ms  183.899 ms  184.382 ms
"
39.net,9," 9  * * *
"
39.net,10,"10  * * *
"
39.net,11,"11  * * *
"
39.net,12,"12  218.241.244.14 (218.241.244.14)  198.138 ms 218.241.244.6 (218.241.244.6)  195.316 ms 218.241.244.22 (218.241.244.22)  195.389 ms
"
39.net,13,"13  * * *
"
39.net,14,"14  124.202.11.126 (124.202.11.126)  248.267 ms  248.958 ms  248.789 ms
"
39.net,15,"15  219.238.238.42 (219.238.238.42)  192.675 ms !X  192.766 ms !X  193.269 ms !X
"
