URL,TTL,Response_Message
box.com,0,"traceroute to box.com (185.235.236.196), 30 hops max, 60 byte packets
"
box.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.324 ms  0.306 ms  0.340 ms
"
box.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.604 ms  0.586 ms  0.614 ms
"
box.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.197 ms  26.161 ms  28.659 ms
"
box.com,4," 4  ffm-b1-link.telia.net (62.115.63.109)  29.524 ms  27.078 ms  29.475 ms
"
box.com,5," 5  ffm-bb2-link.telia.net (62.115.116.161)  29.567 ms  29.543 ms ffm-bb2-link.telia.net (62.115.121.6)  29.420 ms
"
box.com,6," 6  ffm-b12-link.telia.net (62.115.142.5)  31.125 ms  32.525 ms  30.796 ms
"
box.com,7," 7  box-ic-339276-ffm-b4.c.telia.net (213.248.100.199)  30.958 ms  30.781 ms  30.978 ms
"
box.com,8," 8  * * *
"
box.com,9," 9  * * *
"
box.com,10,"10  * * *
"
box.com,11,"11  * * *
"
box.com,12,"12  * * *
"
box.com,13,"13  * * *
"
box.com,14,"14  * * *
"
box.com,15,"15  * * *
"
box.com,16,"16  * * *
"
box.com,17,"17  * * *
"
box.com,18,"18  * * *
"
box.com,19,"19  * * *
"
box.com,20,"20  * * *
"
box.com,21,"21  * * *
"
box.com,22,"22  * * *
"
box.com,23,"23  * * *
"
box.com,24,"24  * * *
"
box.com,25,"25  * * *
"
box.com,26,"26  * * *
"
box.com,27,"27  * * *
"
box.com,28,"28  * * *
"
box.com,29,"29  * * *
"
box.com,30,"30  * * *
"
