URL,TTL,Response_Message
cambridge.org,0,"traceroute to cambridge.org (204.74.99.103), 30 hops max, 60 byte packets
"
cambridge.org,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.376 ms  2.356 ms  2.369 ms
"
cambridge.org,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.688 ms  0.668 ms  0.612 ms
"
cambridge.org,3," 3  msk-m9-b1-ae16-vlan3877.fiord.net (80.77.167.16)  15.972 ms  15.967 ms  15.942 ms
"
cambridge.org,4," 4  stk-tct-b1-ae5-vlan531.fiord.net (93.191.9.185)  37.894 ms  37.950 ms  37.933 ms
"
cambridge.org,5," 5  llnw-peering.fiord.net (93.191.9.15)  52.050 ms  52.041 ms  51.933 ms
"
cambridge.org,6," 6  * * *
"
cambridge.org,7," 7  * * *
"
cambridge.org,8," 8  * * *
"
cambridge.org,9," 9  * * *
"
cambridge.org,10,"10  * * *
"
cambridge.org,11,"11  * * *
"
cambridge.org,12,"12  * * *
"
cambridge.org,13,"13  * * *
"
cambridge.org,14,"14  * * *
"
cambridge.org,15,"15  * * *
"
cambridge.org,16,"16  * * *
"
cambridge.org,17,"17  * * *
"
cambridge.org,18,"18  * * *
"
cambridge.org,19,"19  * * *
"
cambridge.org,20,"20  * * *
"
cambridge.org,21,"21  * * *
"
cambridge.org,22,"22  * * *
"
cambridge.org,23,"23  * * *
"
cambridge.org,24,"24  * * *
"
cambridge.org,25,"25  * * *
"
cambridge.org,26,"26  * * *
"
cambridge.org,27,"27  * * *
"
cambridge.org,28,"28  * * *
"
cambridge.org,29,"29  * * *
"
cambridge.org,30,"30  * * *
"
