URL,TTL,Response_Message
eksisozluk.com,0,"traceroute to eksisozluk.com (176.53.43.9), 30 hops max, 60 byte packets
"
eksisozluk.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.297 ms  0.277 ms  0.304 ms
"
eksisozluk.com,2," 2  178.18.230.185.dataix (178.18.230.185)  0.558 ms  0.481 ms  0.572 ms
"
eksisozluk.com,3," 3  31.210.9.185 (31.210.9.185)  41.675 ms  43.083 ms  43.106 ms
"
eksisozluk.com,4," 4  31.210.9.186 (31.210.9.186)  61.961 ms  61.963 ms  61.944 ms
"
eksisozluk.com,5," 5  10.20.20.70 (10.20.20.70)  62.904 ms  62.941 ms  62.861 ms
"
eksisozluk.com,6," 6  10.20.50.101 (10.20.50.101)  58.858 ms  58.674 ms  58.659 ms
"
eksisozluk.com,7," 7  * * *
"
eksisozluk.com,8," 8  * * *
"
eksisozluk.com,9," 9  * * *
"
eksisozluk.com,10,"10  * * *
"
eksisozluk.com,11,"11  * * *
"
eksisozluk.com,12,"12  * * *
"
eksisozluk.com,13,"13  * * *
"
eksisozluk.com,14,"14  * * *
"
eksisozluk.com,15,"15  * * *
"
eksisozluk.com,16,"16  * * *
"
eksisozluk.com,17,"17  * * *
"
eksisozluk.com,18,"18  * * *
"
eksisozluk.com,19,"19  * * *
"
eksisozluk.com,20,"20  * * *
"
eksisozluk.com,21,"21  * * *
"
eksisozluk.com,22,"22  * * *
"
eksisozluk.com,23,"23  * * *
"
eksisozluk.com,24,"24  * * *
"
eksisozluk.com,25,"25  * * *
"
eksisozluk.com,26,"26  * * *
"
eksisozluk.com,27,"27  * * *
"
eksisozluk.com,28,"28  * * *
"
eksisozluk.com,29,"29  * * *
"
eksisozluk.com,30,"30  * * *
"
