URL,TTL,Response_Message
elmogaz.com,0,"traceroute to elmogaz.com (104.27.171.122), 30 hops max, 60 byte packets
"
elmogaz.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.398 ms  0.380 ms  0.408 ms
"
elmogaz.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.113 ms  0.938 ms  1.146 ms
"
elmogaz.com,3," 3  be3651.ccr31.buh01.atlas.cogentco.com (130.117.2.238)  18.928 ms  18.840 ms  18.978 ms
"
elmogaz.com,4," 4  * * *
"
elmogaz.com,5," 5  * * *
"
elmogaz.com,6," 6  * * *
"
elmogaz.com,7," 7  * * *
"
elmogaz.com,8," 8  * * *
"
elmogaz.com,9," 9  * * *
"
elmogaz.com,10,"10  * * *
"
elmogaz.com,11,"11  * * *
"
elmogaz.com,12,"12  * * *
"
elmogaz.com,13,"13  * * *
"
elmogaz.com,14,"14  * * *
"
elmogaz.com,15,"15  * * *
"
elmogaz.com,16,"16  * * *
"
elmogaz.com,17,"17  * * *
"
elmogaz.com,18,"18  * * *
"
elmogaz.com,19,"19  * * *
"
elmogaz.com,20,"20  * * *
"
elmogaz.com,21,"21  * * *
"
elmogaz.com,22,"22  * * *
"
elmogaz.com,23,"23  * * *
"
elmogaz.com,24,"24  * * *
"
elmogaz.com,25,"25  * * *
"
elmogaz.com,26,"26  * * *
"
elmogaz.com,27,"27  * * *
"
elmogaz.com,28,"28  * * *
"
elmogaz.com,29,"29  * * *
"
elmogaz.com,30,"30  * * *
"
