URL,TTL,Response_Message
fwbntw.com,0,"traceroute to fwbntw.com (95.128.124.135), 30 hops max, 60 byte packets
"
fwbntw.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.307 ms  0.291 ms  0.278 ms
"
fwbntw.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.649 ms  0.630 ms  0.620 ms
"
fwbntw.com,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  67.268 ms  67.243 ms ae4-2.RT.EQX.FKT.DE.retn.net (87.245.233.164)  66.133 ms
"
fwbntw.com,4," 4  be10-0.border1.fra.doclerholding.com (80.81.192.142)  32.356 ms  30.658 ms  34.039 ms
"
fwbntw.com,5," 5  tengige0-0-0-0.core0.lux.dditservices.com (5.159.218.81)  34.487 ms tengige0-0-0-8.core1.lux.dditservices.com (5.159.218.89)  36.049 ms 5.159.218.158 (5.159.218.158)  35.975 ms
"
fwbntw.com,6," 6  * * *
"
fwbntw.com,7," 7  * * *
"
fwbntw.com,8," 8  * * *
"
fwbntw.com,9," 9  * * *
"
fwbntw.com,10,"10  * * *
"
fwbntw.com,11,"11  tengige0-1-0-14.core0.lux.dditservices.com (5.159.218.89)  36.905 ms !X tengige0-1-0-6.border1.fra.dditservices.com (5.159.218.86)  35.164 ms !X *
"
