URL,TTL,Response_Message
kissanime.ru,0,"traceroute to kissanime.ru (104.20.26.43), 30 hops max, 60 byte packets
"
kissanime.ru,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.448 ms  0.432 ms  0.418 ms
"
kissanime.ru,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.991 ms  1.123 ms  1.004 ms
"
kissanime.ru,3," 3  be3644.rcr21.kbp01.atlas.cogentco.com (130.117.2.69)  0.834 ms  0.935 ms  2.342 ms
"
kissanime.ru,4," 4  * * *
"
kissanime.ru,5," 5  * * *
"
kissanime.ru,6," 6  * * *
"
kissanime.ru,7," 7  * * *
"
kissanime.ru,8," 8  * * *
"
kissanime.ru,9," 9  * * *
"
kissanime.ru,10,"10  * * *
"
kissanime.ru,11,"11  * * *
"
kissanime.ru,12,"12  * * *
"
kissanime.ru,13,"13  * * *
"
kissanime.ru,14,"14  * * *
"
kissanime.ru,15,"15  * * *
"
kissanime.ru,16,"16  * * *
"
kissanime.ru,17,"17  * * *
"
kissanime.ru,18,"18  * * *
"
kissanime.ru,19,"19  * * *
"
kissanime.ru,20,"20  * * *
"
kissanime.ru,21,"21  * * *
"
kissanime.ru,22,"22  * * *
"
kissanime.ru,23,"23  * * *
"
kissanime.ru,24,"24  * * *
"
kissanime.ru,25,"25  * * *
"
kissanime.ru,26,"26  * * *
"
kissanime.ru,27,"27  * * *
"
kissanime.ru,28,"28  * * *
"
kissanime.ru,29,"29  * * *
"
kissanime.ru,30,"30  * * *
"
