URL,TTL,Response_Message
life.tw,0,"traceroute to life.tw (104.25.191.5), 30 hops max, 60 byte packets
"
life.tw,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  4.448 ms  4.415 ms  4.390 ms
"
life.tw,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.905 ms  0.928 ms  0.985 ms
"
life.tw,3," 3  be3644.rcr21.kbp01.atlas.cogentco.com (130.117.2.69)  1.074 ms  1.248 ms  1.081 ms
"
life.tw,4," 4  * * *
"
life.tw,5," 5  * * *
"
life.tw,6," 6  * * *
"
life.tw,7," 7  * * *
"
life.tw,8," 8  * * *
"
life.tw,9," 9  * * *
"
life.tw,10,"10  * * *
"
life.tw,11,"11  * * *
"
life.tw,12,"12  * * *
"
life.tw,13,"13  * * *
"
life.tw,14,"14  * * *
"
life.tw,15,"15  * * *
"
life.tw,16,"16  * * *
"
life.tw,17,"17  * * *
"
life.tw,18,"18  * * *
"
life.tw,19,"19  * * *
"
life.tw,20,"20  * * *
"
life.tw,21,"21  * * *
"
life.tw,22,"22  * * *
"
life.tw,23,"23  * * *
"
life.tw,24,"24  * * *
"
life.tw,25,"25  * * *
"
life.tw,26,"26  * * *
"
life.tw,27,"27  * * *
"
life.tw,28,"28  * * *
"
life.tw,29,"29  * * *
"
life.tw,30,"30  * * *
"
