URL,TTL,Response_Message
okdiario.com,0,"traceroute to okdiario.com (185.104.133.10), 30 hops max, 60 byte packets
"
okdiario.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.349 ms  0.322 ms  0.303 ms
"
okdiario.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.739 ms  0.726 ms  0.706 ms
"
okdiario.com,3," 3  ae3-8.RT.TC2.AMS.NL.retn.net (87.245.233.17)  32.659 ms  48.476 ms  48.463 ms
"
okdiario.com,4," 4  80.249.210.43 (80.249.210.43)  32.950 ms  32.977 ms  32.960 ms
"
okdiario.com,5," 5  DDOS-FILTER (5.254.73.99)  32.898 ms  32.881 ms  32.872 ms
"
okdiario.com,6," 6  mad-in1-02t.voxility.net (5.254.30.98)  61.468 ms  63.137 ms  61.490 ms
"
okdiario.com,7," 7  mad-in1-01c.voxility.net (5.254.30.97)  63.335 ms  61.877 ms  61.755 ms
"
okdiario.com,8," 8  5.254.30.146 (5.254.30.146)  60.901 ms  60.718 ms 5.254.30.147 (5.254.30.147)  62.003 ms
"
okdiario.com,9," 9  * * *
"
okdiario.com,10,"10  * * *
"
okdiario.com,11,"11  * * *
"
okdiario.com,12,"12  * * *
"
okdiario.com,13,"13  * * *
"
okdiario.com,14,"14  * * *
"
okdiario.com,15,"15  * * *
"
okdiario.com,16,"16  * * *
"
okdiario.com,17,"17  * * *
"
okdiario.com,18,"18  * * *
"
okdiario.com,19,"19  * * *
"
okdiario.com,20,"20  * * *
"
okdiario.com,21,"21  * * *
"
okdiario.com,22,"22  * * *
"
okdiario.com,23,"23  * * *
"
okdiario.com,24,"24  * * *
"
okdiario.com,25,"25  * * *
"
okdiario.com,26,"26  * * *
"
okdiario.com,27,"27  * * *
"
okdiario.com,28,"28  * * *
"
okdiario.com,29,"29  * * *
"
okdiario.com,30,"30  * * *
"
