URL,TTL,Response_Message
souq.com,0,"traceroute to souq.com (108.128.55.241), 30 hops max, 60 byte packets
"
souq.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.991 ms  0.977 ms  1.005 ms
"
souq.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.585 ms  0.570 ms  0.559 ms
"
souq.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.159 ms  28.629 ms  26.146 ms
"
souq.com,4," 4  amazon-fra-peering.fiord.net (62.140.243.53)  28.782 ms amazon-fra-peering.fiord.net (62.140.243.51)  31.455 ms  31.433 ms
"
souq.com,5," 5  54.239.106.76 (54.239.106.76)  29.702 ms 54.239.106.96 (54.239.106.96)  28.307 ms 54.239.106.140 (54.239.106.140)  32.039 ms
"
souq.com,6," 6  54.239.106.133 (54.239.106.133)  29.354 ms 54.239.106.151 (54.239.106.151)  31.595 ms 54.239.106.45 (54.239.106.45)  28.863 ms
"
souq.com,7," 7  * * *
"
souq.com,8," 8  52.93.134.152 (52.93.134.152)  52.763 ms 52.93.135.6 (52.93.135.6)  50.383 ms 52.93.135.200 (52.93.135.200)  50.925 ms
"
souq.com,9," 9  52.93.133.228 (52.93.133.228)  51.517 ms 150.222.240.138 (150.222.240.138)  49.573 ms 150.222.240.8 (150.222.240.8)  50.895 ms
"
souq.com,10,"10  * 54.239.42.181 (54.239.42.181)  62.490 ms *
"
souq.com,11,"11  * * *
"
souq.com,12,"12  * * *
"
souq.com,13,"13  * 52.93.101.23 (52.93.101.23)  49.003 ms *
"
souq.com,14,"14  150.222.241.80 (150.222.241.80)  62.887 ms 52.93.101.8 (52.93.101.8)  57.144 ms 150.222.241.88 (150.222.241.88)  53.057 ms
"
souq.com,15,"15  * * *
"
souq.com,16,"16  * 52.93.6.154 (52.93.6.154)  50.418 ms 52.93.6.132 (52.93.6.132)  50.180 ms
"
souq.com,17,"17  52.93.101.19 (52.93.101.19)  52.931 ms * *
"
souq.com,18,"18  52.93.101.38 (52.93.101.38)  52.868 ms 52.93.101.16 (52.93.101.16)  50.638 ms 52.93.101.36 (52.93.101.36)  53.307 ms
"
souq.com,19,"19  52.93.7.67 (52.93.7.67)  51.681 ms 52.93.7.69 (52.93.7.69)  53.849 ms *
"
souq.com,20,"20  * * *
"
souq.com,21,"21  * * *
"
souq.com,22,"22  * * *
"
souq.com,23,"23  * * *
"
souq.com,24,"24  * * *
"
souq.com,25,"25  * * *
"
souq.com,26,"26  * * *
"
souq.com,27,"27  * * *
"
souq.com,28,"28  * * *
"
souq.com,29,"29  * * *
"
souq.com,30,"30  * * *
"
