URL,TTL,Response_Message
usaa.com,0,"traceroute to usaa.com (104.96.132.10), 30 hops max, 60 byte packets
"
usaa.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  6.019 ms  5.985 ms  5.956 ms
"
usaa.com,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.557 ms  0.546 ms  0.584 ms
"
usaa.com,3," 3  100.64.65.25 (100.64.65.25)  8.251 ms  8.237 ms  8.213 ms
"
usaa.com,4," 4  100.64.65.85 (100.64.65.85)  36.242 ms  30.306 ms  36.234 ms
"
usaa.com,5," 5  * * *
"
usaa.com,6," 6  * * *
"
usaa.com,7," 7  * * *
"
usaa.com,8," 8  * * *
"
usaa.com,9," 9  * * *
"
usaa.com,10,"10  * * *
"
usaa.com,11,"11  * * *
"
usaa.com,12,"12  * * *
"
usaa.com,13,"13  * * *
"
usaa.com,14,"14  * * *
"
usaa.com,15,"15  * * *
"
usaa.com,16,"16  * * *
"
usaa.com,17,"17  * * *
"
usaa.com,18,"18  * * *
"
usaa.com,19,"19  * * *
"
usaa.com,20,"20  * * *
"
usaa.com,21,"21  * * *
"
usaa.com,22,"22  * * *
"
usaa.com,23,"23  * * *
"
usaa.com,24,"24  * * *
"
usaa.com,25,"25  * * *
"
usaa.com,26,"26  * * *
"
usaa.com,27,"27  * * *
"
usaa.com,28,"28  * * *
"
usaa.com,29,"29  * * *
"
usaa.com,30,"30  * * *
"
