URL,TTL,Response_Message
blpmovies.com,0,"traceroute to blpmovies.com (54.174.122.172), 50 hops max, 60 byte packets
"
blpmovies.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.943 ms  0.927 ms  0.934 ms
"
blpmovies.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  1.157 ms  0.917 ms  1.131 ms
"
blpmovies.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.007 ms  17.053 ms  17.092 ms
"
blpmovies.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.263 ms  22.256 ms  22.274 ms
"
blpmovies.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.422 ms  30.614 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.761 ms
"
blpmovies.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  48.917 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.448 ms be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.434 ms
"
blpmovies.com,7," 7  be12266.ccr42.par01.atlas.cogentco.com (154.54.56.174)  118.414 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.784 ms  114.794 ms
"
blpmovies.com,8," 8  be2490.ccr42.jfk02.atlas.cogentco.com (154.54.42.85)  119.783 ms be3628.ccr42.jfk02.atlas.cogentco.com (154.54.27.169)  120.018 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  116.136 ms
"
blpmovies.com,9," 9  be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  115.264 ms be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  116.169 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  115.768 ms
"
blpmovies.com,10,"10  38.140.106.162 (38.140.106.162)  119.462 ms  120.106 ms 38.140.107.42 (38.140.107.42)  125.643 ms
"
blpmovies.com,11,"11  52.93.31.33 (52.93.31.33)  122.785 ms 52.93.31.37 (52.93.31.37)  118.351 ms 38.140.107.42 (38.140.107.42)  115.310 ms
"
blpmovies.com,12,"12  52.93.4.54 (52.93.4.54)  113.831 ms 52.93.31.35 (52.93.31.35)  111.851 ms 52.93.4.52 (52.93.4.52)  110.986 ms
"
blpmovies.com,13,"13  * * *
"
blpmovies.com,14,"14  54.240.229.139 (54.240.229.139)  118.879 ms * 54.240.229.149 (54.240.229.149)  118.857 ms
"
blpmovies.com,15,"15  * * *
"
blpmovies.com,16,"16  * * *
"
blpmovies.com,17,"17  * * *
"
blpmovies.com,18,"18  * * *
"
blpmovies.com,19,"19  * * *
"
blpmovies.com,20,"20  * * *
"
blpmovies.com,21,"21  * * *
"
blpmovies.com,22,"22  * * *
"
blpmovies.com,23,"23  * * *
"
blpmovies.com,24,"24  * * *
"
blpmovies.com,25,"25  52.93.28.202 (52.93.28.202)  117.308 ms 52.93.28.234 (52.93.28.234)  117.188 ms  116.184 ms
"
blpmovies.com,26,"26  52.93.28.198 (52.93.28.198)  126.335 ms * *
"
blpmovies.com,27,"27  * * *
"
blpmovies.com,28,"28  * * *
"
blpmovies.com,29,"29  * * *
"
blpmovies.com,30,"30  * * *
"
blpmovies.com,31,"31  * * *
"
blpmovies.com,32,"32  * * *
"
blpmovies.com,33,"33  * * *
"
blpmovies.com,34,"34  * * *
"
blpmovies.com,35,"35  * * *
"
blpmovies.com,36,"36  * * *
"
blpmovies.com,37,"37  * * *
"
blpmovies.com,38,"38  * * *
"
blpmovies.com,39,"39  * * *
"
blpmovies.com,40,"40  * * *
"
blpmovies.com,41,"41  * * *
"
blpmovies.com,42,"42  * * *
"
blpmovies.com,43,"43  * * *
"
blpmovies.com,44,"44  * * *
"
blpmovies.com,45,"45  * * *
"
blpmovies.com,46,"46  * * *
"
blpmovies.com,47,"47  * * *
"
blpmovies.com,48,"48  * * *
"
blpmovies.com,49,"49  * * *
"
blpmovies.com,50,"50  * * *
"
