URL,TTL,Response_Message
business-channel4.com,0,"traceroute to business-channel4.com (208.91.197.46), 50 hops max, 60 byte packets
"
business-channel4.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.325 ms  0.305 ms  0.292 ms
"
business-channel4.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.647 ms  0.636 ms  0.624 ms
"
business-channel4.com,3," 3  ae3-4.RT.EQX.FKT.DE.retn.net (87.245.232.233)  31.046 ms  31.047 ms  32.304 ms
"
business-channel4.com,4," 4  * * *
"
business-channel4.com,5," 5  ae27.cs1.fra9.de.eth.zayo.com (64.125.30.254)  155.114 ms  155.841 ms  155.094 ms
"
business-channel4.com,6," 6  ae0.cs1.fra6.de.eth.zayo.com (64.125.29.54)  154.616 ms  154.902 ms  155.738 ms
"
business-channel4.com,7," 7  ae2.cs1.ams17.nl.eth.zayo.com (64.125.29.59)  155.273 ms  155.087 ms  156.125 ms
"
business-channel4.com,8," 8  ae0.cs1.ams10.nl.eth.zayo.com (64.125.29.80)  155.589 ms  155.153 ms  155.142 ms
"
business-channel4.com,9," 9  ae2.cs1.lhr15.uk.eth.zayo.com (64.125.29.17)  174.656 ms  155.338 ms  155.318 ms
"
business-channel4.com,10,"10  * * *
"
business-channel4.com,11,"11  * * *
"
business-channel4.com,12,"12  ae0.cs2.lga5.us.eth.zayo.com (64.125.29.187)  165.256 ms  164.799 ms  156.099 ms
"
business-channel4.com,13,"13  ae4.cs2.dca2.us.eth.zayo.com (64.125.29.31)  169.900 ms  155.228 ms  154.405 ms
"
business-channel4.com,14,"14  ae3.cs2.iah1.us.eth.zayo.com (64.125.29.45)  154.767 ms  155.048 ms  154.724 ms
"
business-channel4.com,15,"15  ae2.mpr2.aus1.us.zip.zayo.com (64.125.31.250)  155.962 ms  154.860 ms  154.469 ms
"
business-channel4.com,16,"16  ae4.er1.aus3.us.zip.zayo.com (64.125.31.27)  154.836 ms  154.703 ms  155.986 ms
"
business-channel4.com,17,"17  64.125.192.114.IPYX-082035-002-ZYO.above.net (64.125.192.114)  146.623 ms  146.606 ms  146.783 ms
"
business-channel4.com,18,"18  * * *
"
business-channel4.com,19,"19  * * *
"
business-channel4.com,20,"20  * * *
"
business-channel4.com,21,"21  * * *
"
business-channel4.com,22,"22  * * *
"
business-channel4.com,23,"23  * * *
"
business-channel4.com,24,"24  * * *
"
business-channel4.com,25,"25  * * *
"
business-channel4.com,26,"26  * * *
"
business-channel4.com,27,"27  * * *
"
business-channel4.com,28,"28  * * *
"
business-channel4.com,29,"29  * * *
"
business-channel4.com,30,"30  * * *
"
business-channel4.com,31,"31  * * *
"
business-channel4.com,32,"32  * * *
"
business-channel4.com,33,"33  * * *
"
business-channel4.com,34,"34  * * *
"
business-channel4.com,35,"35  * * *
"
business-channel4.com,36,"36  * * *
"
business-channel4.com,37,"37  * * *
"
business-channel4.com,38,"38  * * *
"
business-channel4.com,39,"39  * * *
"
business-channel4.com,40,"40  * * *
"
business-channel4.com,41,"41  * * *
"
business-channel4.com,42,"42  * * *
"
business-channel4.com,43,"43  * * *
"
business-channel4.com,44,"44  * * *
"
business-channel4.com,45,"45  * * *
"
business-channel4.com,46,"46  * * *
"
business-channel4.com,47,"47  * * *
"
business-channel4.com,48,"48  * * *
"
business-channel4.com,49,"49  * * *
"
business-channel4.com,50,"50  * * *
"
