URL,TTL,Response_Message
gostream.is,0,"traceroute to gostream.is (104.27.134.251), 50 hops max, 60 byte packets
"
gostream.is,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.319 ms  0.305 ms  0.325 ms
"
gostream.is,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  2.317 ms  2.344 ms  2.431 ms
"
gostream.is,3," 3  be3644.rcr21.kbp01.atlas.cogentco.com (130.117.2.69)  2.278 ms  3.728 ms  2.334 ms
"
gostream.is,4," 4  * * *
"
gostream.is,5," 5  * * *
"
gostream.is,6," 6  * * *
"
gostream.is,7," 7  * * *
"
gostream.is,8," 8  * * *
"
gostream.is,9," 9  * * *
"
gostream.is,10,"10  * * *
"
gostream.is,11,"11  * * *
"
gostream.is,12,"12  * * *
"
gostream.is,13,"13  * * *
"
gostream.is,14,"14  * * *
"
gostream.is,15,"15  * * *
"
gostream.is,16,"16  * * *
"
gostream.is,17,"17  * * *
"
gostream.is,18,"18  * * *
"
gostream.is,19,"19  * * *
"
gostream.is,20,"20  * * *
"
gostream.is,21,"21  * * *
"
gostream.is,22,"22  * * *
"
gostream.is,23,"23  * * *
"
gostream.is,24,"24  * * *
"
gostream.is,25,"25  * * *
"
gostream.is,26,"26  * * *
"
gostream.is,27,"27  * * *
"
gostream.is,28,"28  * * *
"
gostream.is,29,"29  * * *
"
gostream.is,30,"30  * * *
"
gostream.is,31,"31  * * *
"
gostream.is,32,"32  * * *
"
gostream.is,33,"33  * * *
"
gostream.is,34,"34  * * *
"
gostream.is,35,"35  * * *
"
gostream.is,36,"36  * * *
"
gostream.is,37,"37  * * *
"
gostream.is,38,"38  * * *
"
gostream.is,39,"39  * * *
"
gostream.is,40,"40  * * *
"
gostream.is,41,"41  * * *
"
gostream.is,42,"42  * * *
"
gostream.is,43,"43  * * *
"
gostream.is,44,"44  * * *
"
gostream.is,45,"45  * * *
"
gostream.is,46,"46  * * *
"
gostream.is,47,"47  * * *
"
gostream.is,48,"48  * * *
"
gostream.is,49,"49  * * *
"
gostream.is,50,"50  * * *
"
