URL,TTL,Response_Message
hootsuite.com,0,"traceroute to hootsuite.com (34.231.155.24), 30 hops max, 60 byte packets
"
hootsuite.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.321 ms  0.303 ms  0.328 ms
"
hootsuite.com,2," 2  gi0-4-0-4.rcr22.kbp01.atlas.cogentco.com (149.6.190.17)  0.973 ms  1.010 ms  1.049 ms
"
hootsuite.com,3," 3  be2047.ccr22.bts01.atlas.cogentco.com (154.54.60.205)  17.381 ms  17.090 ms  17.053 ms
"
hootsuite.com,4," 4  be3045.ccr21.prg01.atlas.cogentco.com (154.54.59.105)  22.303 ms  22.607 ms  22.666 ms
"
hootsuite.com,5," 5  be3027.ccr41.ham01.atlas.cogentco.com (130.117.1.205)  30.678 ms  30.722 ms be3029.ccr42.ham01.atlas.cogentco.com (154.54.59.61)  30.547 ms
"
hootsuite.com,6," 6  be2816.ccr42.ams03.atlas.cogentco.com (154.54.38.209)  39.706 ms  39.377 ms be2815.ccr41.ams03.atlas.cogentco.com (154.54.38.205)  39.442 ms
"
hootsuite.com,7," 7  be12194.ccr41.lon13.atlas.cogentco.com (154.54.56.93)  116.786 ms be12265.ccr41.par01.atlas.cogentco.com (130.117.2.142)  116.434 ms be12488.ccr42.lon13.atlas.cogentco.com (130.117.51.41)  114.583 ms
"
hootsuite.com,8," 8  be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.713 ms be2099.ccr31.bos01.atlas.cogentco.com (154.54.82.34)  115.583 ms be2317.ccr41.jfk02.atlas.cogentco.com (154.54.30.185)  115.887 ms
"
hootsuite.com,9," 9  be3496.ccr31.jfk10.atlas.cogentco.com (154.54.0.142)  118.277 ms  118.887 ms  118.713 ms
"
hootsuite.com,10,"10  38.140.107.42 (38.140.107.42)  117.152 ms  117.526 ms be3495.ccr31.jfk10.atlas.cogentco.com (66.28.4.182)  114.849 ms
"
hootsuite.com,11,"11  52.93.31.49 (52.93.31.49)  118.221 ms * 52.93.31.59 (52.93.31.59)  116.010 ms
"
hootsuite.com,12,"12  * 52.93.4.50 (52.93.4.50)  111.047 ms 52.93.4.42 (52.93.4.42)  112.559 ms
"
hootsuite.com,13,"13  * * *
"
hootsuite.com,14,"14  52.93.131.180 (52.93.131.180)  117.521 ms 54.240.229.149 (54.240.229.149)  116.838 ms  116.975 ms
"
hootsuite.com,15,"15  * * *
"
hootsuite.com,16,"16  * * *
"
hootsuite.com,17,"17  * * *
"
hootsuite.com,18,"18  * * *
"
hootsuite.com,19,"19  * * *
"
hootsuite.com,20,"20  * * *
"
hootsuite.com,21,"21  * * *
"
hootsuite.com,22,"22  * * *
"
hootsuite.com,23,"23  * * *
"
hootsuite.com,24,"24  * * *
"
hootsuite.com,25,"25  52.93.28.240 (52.93.28.240)  118.436 ms 52.93.28.244 (52.93.28.244)  118.330 ms 52.93.28.232 (52.93.28.232)  118.986 ms
"
hootsuite.com,26,"26  * * 52.93.28.210 (52.93.28.210)  115.849 ms
"
hootsuite.com,27,"27  * * *
"
hootsuite.com,28,"28  * * *
"
hootsuite.com,29,"29  * * *
"
hootsuite.com,30,"30  * * *
"
