URL,TTL,Response_Message
list-manage.com,0,"traceroute to list-manage.com (205.201.132.96), 50 hops max, 60 byte packets
"
list-manage.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.351 ms  0.378 ms  0.422 ms
"
list-manage.com,2," 2  ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.613 ms  0.602 ms  0.621 ms
"
list-manage.com,3," 3  ae2-7.RT.IRX.VIE.AT.retn.net (87.245.233.137)  19.632 ms  19.624 ms  19.173 ms
"
list-manage.com,4," 4  193.203.0.236 (193.203.0.236)  19.539 ms  19.602 ms  19.542 ms
"
list-manage.com,5," 5  po110.bs-b.sech-vie.netarch.akamai.com (23.57.104.245)  19.435 ms po110.bs-a.sech-vie.netarch.akamai.com (23.57.104.243)  19.816 ms  19.674 ms
"
list-manage.com,6," 6  a72-52-1-187.deploy.static.akamaitechnologies.com (72.52.1.187)  19.873 ms  19.883 ms  19.565 ms
"
list-manage.com,7," 7  ae121.access-a.sech-vie.netarch.akamai.com (23.57.104.251)  19.438 ms  19.358 ms  19.458 ms
"
list-manage.com,8," 8  * * *
"
list-manage.com,9," 9  * * *
"
list-manage.com,10,"10  * * *
"
list-manage.com,11,"11  * * *
"
list-manage.com,12,"12  * * *
"
list-manage.com,13,"13  * * *
"
list-manage.com,14,"14  * * *
"
list-manage.com,15,"15  * * *
"
list-manage.com,16,"16  * * *
"
list-manage.com,17,"17  * * *
"
list-manage.com,18,"18  * * *
"
list-manage.com,19,"19  * * *
"
list-manage.com,20,"20  * * *
"
list-manage.com,21,"21  * * *
"
list-manage.com,22,"22  * * *
"
list-manage.com,23,"23  * * *
"
list-manage.com,24,"24  * * *
"
list-manage.com,25,"25  * * *
"
list-manage.com,26,"26  * * *
"
list-manage.com,27,"27  * * *
"
list-manage.com,28,"28  * * *
"
list-manage.com,29,"29  * * *
"
list-manage.com,30,"30  * * *
"
list-manage.com,31,"31  * * *
"
list-manage.com,32,"32  * * *
"
list-manage.com,33,"33  * * *
"
list-manage.com,34,"34  * * *
"
list-manage.com,35,"35  * * *
"
list-manage.com,36,"36  * * *
"
list-manage.com,37,"37  * * *
"
list-manage.com,38,"38  * * *
"
list-manage.com,39,"39  * * *
"
list-manage.com,40,"40  * * *
"
list-manage.com,41,"41  * * *
"
list-manage.com,42,"42  * * *
"
list-manage.com,43,"43  * * *
"
list-manage.com,44,"44  * * *
"
list-manage.com,45,"45  * * *
"
list-manage.com,46,"46  * * *
"
list-manage.com,47,"47  * * *
"
list-manage.com,48,"48  * * *
"
list-manage.com,49,"49  * * *
"
list-manage.com,50,"50  * * *
"
