URL,TTL,Response_Message
okdiario.com,0,"traceroute to okdiario.com (185.47.12.155), 50 hops max, 60 byte packets
"
okdiario.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.322 ms  0.306 ms  0.331 ms
"
okdiario.com,2," 2  * ae3-247.RT.NTL.KIV.UA.retn.net (87.245.247.24)  0.605 ms  0.627 ms
"
okdiario.com,3," 3  ae3-8.RT.TC2.AMS.NL.retn.net (87.245.233.17)  32.690 ms  32.626 ms  32.651 ms
"
okdiario.com,4," 4  ams-ix-1.airenetworks.es (80.249.211.91)  33.538 ms  33.521 ms  33.544 ms
"
okdiario.com,5," 5  * * *
"
okdiario.com,6," 6  * * *
"
okdiario.com,7," 7  * * *
"
okdiario.com,8," 8  * * *
"
okdiario.com,9," 9  * * *
"
okdiario.com,10,"10  * * *
"
okdiario.com,11,"11  * * *
"
okdiario.com,12,"12  * * *
"
okdiario.com,13,"13  * * *
"
okdiario.com,14,"14  * * *
"
okdiario.com,15,"15  * * *
"
okdiario.com,16,"16  * * *
"
okdiario.com,17,"17  * * *
"
okdiario.com,18,"18  * * *
"
okdiario.com,19,"19  * * *
"
okdiario.com,20,"20  * * *
"
okdiario.com,21,"21  * * *
"
okdiario.com,22,"22  * * *
"
okdiario.com,23,"23  * * *
"
okdiario.com,24,"24  * * *
"
okdiario.com,25,"25  * * *
"
okdiario.com,26,"26  * * *
"
okdiario.com,27,"27  * * *
"
okdiario.com,28,"28  * * *
"
okdiario.com,29,"29  * * *
"
okdiario.com,30,"30  * * *
"
okdiario.com,31,"31  * * *
"
okdiario.com,32,"32  * * *
"
okdiario.com,33,"33  * * *
"
okdiario.com,34,"34  * * *
"
okdiario.com,35,"35  * * *
"
okdiario.com,36,"36  * * *
"
okdiario.com,37,"37  * * *
"
okdiario.com,38,"38  * * *
"
okdiario.com,39,"39  * * *
"
okdiario.com,40,"40  * * *
"
okdiario.com,41,"41  * * *
"
okdiario.com,42,"42  * * *
"
okdiario.com,43,"43  * * *
"
okdiario.com,44,"44  * * *
"
okdiario.com,45,"45  * * *
"
okdiario.com,46,"46  * * *
"
okdiario.com,47,"47  * * *
"
okdiario.com,48,"48  * * *
"
okdiario.com,49,"49  * * *
"
okdiario.com,50,"50  * * *
"
