URL,TTL,Response_Message
souq.com,0,"traceroute to souq.com (52.209.180.7), 50 hops max, 60 byte packets
"
souq.com,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  2.702 ms  2.680 ms  2.663 ms
"
souq.com,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.611 ms  0.504 ms  0.564 ms
"
souq.com,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  26.054 ms  28.576 ms  28.566 ms
"
souq.com,4," 4  amazon-fra-peering.fiord.net (62.140.243.53)  31.316 ms  31.332 ms  31.291 ms
"
souq.com,5," 5  54.239.106.30 (54.239.106.30)  30.602 ms 54.239.106.120 (54.239.106.120)  34.522 ms 54.239.106.76 (54.239.106.76)  32.258 ms
"
souq.com,6," 6  54.239.106.175 (54.239.106.175)  29.411 ms 54.239.106.173 (54.239.106.173)  27.515 ms 54.239.106.45 (54.239.106.45)  29.014 ms
"
souq.com,7," 7  * * *
"
souq.com,8," 8  52.93.134.108 (52.93.134.108)  53.833 ms  53.864 ms 52.93.132.84 (52.93.132.84)  51.397 ms
"
souq.com,9," 9  52.93.134.194 (52.93.134.194)  49.263 ms  49.253 ms 52.93.135.52 (52.93.135.52)  53.352 ms
"
souq.com,10,"10  * 54.239.44.138 (54.239.44.138)  53.417 ms 54.239.44.142 (54.239.44.142)  49.750 ms
"
souq.com,11,"11  * * *
"
souq.com,12,"12  * * *
"
souq.com,13,"13  * 52.93.101.15 (52.93.101.15)  49.826 ms  49.887 ms
"
souq.com,14,"14  150.222.240.40 (150.222.240.40)  50.922 ms 52.93.101.6 (52.93.101.6)  53.345 ms 52.93.101.18 (52.93.101.18)  48.952 ms
"
souq.com,15,"15  52.93.7.57 (52.93.7.57)  51.832 ms * *
"
souq.com,16,"16  * 52.93.6.252 (52.93.6.252)  52.931 ms *
"
souq.com,17,"17  52.93.101.49 (52.93.101.49)  51.412 ms 52.93.101.17 (52.93.101.17)  52.489 ms 52.93.101.51 (52.93.101.51)  53.085 ms
"
souq.com,18,"18  52.93.101.62 (52.93.101.62)  51.176 ms 52.93.101.8 (52.93.101.8)  53.182 ms 52.93.101.28 (52.93.101.28)  54.685 ms
"
souq.com,19,"19  * * *
"
souq.com,20,"20  * * *
"
souq.com,21,"21  * * *
"
souq.com,22,"22  * * *
"
souq.com,23,"23  * * *
"
souq.com,24,"24  * * *
"
souq.com,25,"25  * * *
"
souq.com,26,"26  * * *
"
souq.com,27,"27  * * *
"
souq.com,28,"28  * * *
"
souq.com,29,"29  * * *
"
souq.com,30,"30  * * *
"
souq.com,31,"31  * * *
"
souq.com,32,"32  * * *
"
souq.com,33,"33  * * *
"
souq.com,34,"34  * * *
"
souq.com,35,"35  * * *
"
souq.com,36,"36  * * *
"
souq.com,37,"37  * * *
"
souq.com,38,"38  * * *
"
souq.com,39,"39  * * *
"
souq.com,40,"40  * * *
"
souq.com,41,"41  * * *
"
souq.com,42,"42  * * *
"
souq.com,43,"43  * * *
"
souq.com,44,"44  * * *
"
souq.com,45,"45  * * *
"
souq.com,46,"46  * * *
"
souq.com,47,"47  * * *
"
souq.com,48,"48  * * *
"
souq.com,49,"49  * * *
"
souq.com,50,"50  * * *
"
