URL,TTL,Response_Message
xcar.com.cn,0,"traceroute to xcar.com.cn (192.144.194.149), 50 hops max, 60 byte packets
"
xcar.com.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.291 ms  0.272 ms  0.321 ms
"
xcar.com.cn,2," 2  v1045.cs-krasn100.kv.wnet.ua (92.60.186.62)  0.549 ms  0.542 ms  0.525 ms
"
xcar.com.cn,3," 3  100.64.65.25 (100.64.65.25)  8.243 ms  7.746 ms  7.788 ms
"
xcar.com.cn,4," 4  100.64.64.141 (100.64.64.141)  29.912 ms  32.319 ms  32.312 ms
"
xcar.com.cn,5," 5  81.173.22.17 (81.173.22.17)  34.076 ms  34.076 ms  34.072 ms
"
xcar.com.cn,6," 6  202.97.58.77 (202.97.58.77)  171.701 ms  179.255 ms  171.265 ms
"
xcar.com.cn,7," 7  202.97.12.53 (202.97.12.53)  230.407 ms  230.380 ms  229.760 ms
"
xcar.com.cn,8," 8  202.97.34.73 (202.97.34.73)  181.635 ms  181.592 ms  181.994 ms
"
xcar.com.cn,9," 9  * * *
"
xcar.com.cn,10,"10  * 218.30.104.78 (218.30.104.78)  192.102 ms *
"
xcar.com.cn,11,"11  * 36.110.203.238 (36.110.203.238)  213.023 ms  213.192 ms
"
xcar.com.cn,12,"12  * * *
"
xcar.com.cn,13,"13  * * *
"
xcar.com.cn,14,"14  * * *
"
xcar.com.cn,15,"15  * * *
"
xcar.com.cn,16,"16  * * *
"
xcar.com.cn,17,"17  * * *
"
xcar.com.cn,18,"18  * * *
"
xcar.com.cn,19,"19  * * *
"
xcar.com.cn,20,"20  * * *
"
xcar.com.cn,21,"21  * * *
"
xcar.com.cn,22,"22  * * *
"
xcar.com.cn,23,"23  * * *
"
xcar.com.cn,24,"24  * * *
"
xcar.com.cn,25,"25  * * *
"
xcar.com.cn,26,"26  * * *
"
xcar.com.cn,27,"27  * * *
"
xcar.com.cn,28,"28  * * *
"
xcar.com.cn,29,"29  * * *
"
xcar.com.cn,30,"30  * * *
"
xcar.com.cn,31,"31  * * *
"
xcar.com.cn,32,"32  * * *
"
xcar.com.cn,33,"33  * * *
"
xcar.com.cn,34,"34  * * *
"
xcar.com.cn,35,"35  * * *
"
xcar.com.cn,36,"36  * * *
"
xcar.com.cn,37,"37  * * *
"
xcar.com.cn,38,"38  * * *
"
xcar.com.cn,39,"39  * * *
"
xcar.com.cn,40,"40  * * *
"
xcar.com.cn,41,"41  * * *
"
xcar.com.cn,42,"42  * * *
"
xcar.com.cn,43,"43  * * *
"
xcar.com.cn,44,"44  * * *
"
xcar.com.cn,45,"45  * * *
"
xcar.com.cn,46,"46  * * *
"
xcar.com.cn,47,"47  * * *
"
xcar.com.cn,48,"48  * * *
"
xcar.com.cn,49,"49  * * *
"
xcar.com.cn,50,"50  * * *
"
